Timestamp,User,Total,Tip
2024-10-01 08:00,Alice,120.50,15.00
2024-10-01 09:30,Bob,85.75,10.00
2024-10-01 10:15,Charlie,60.00,5.00
2024-10-01 11:45,Diana,200.00,20.00
2024-10-01 13:00,Ethan,150.25,18.00
2024-10-01 14:30,Fiona,90.10,12.00
2024-10-01 15:15,George,110.00,14.00
2024-10-01 16:00,Hannah,75.00,8.00
2024-10-02 08:30,Ian,130.45,16.00
2024-10-02 09:45,Julia,95.00,11.00
2024-10-02 10:30,Kevin,45.60,6.00
2024-10-02 11:15,Liam,160.00,22.00
2024-10-02 12:00,Mia,80.25,9.00
2024-10-02 13:30,Noah,105.80,13.00
2024-10-02 14:45,Olivia,55.00,7.00
2024-10-02 15:30,Paul,170.00,25.00
2024-10-03 08:15,Quinn,120.00,15.00
2024-10-03 09:00,Rita,130.00,17.00
2024-10-03 10:00,Sam,78.50,10.50
2024-10-03 11:30,Tina,150.00,20.00
2024-10-03 12:45,Ursula,90.00,12.00
2024-10-03 14:00,Victor,85.50,10.00
2024-10-03 15:15,Wendy,125.00,15.00
2024-10-03 16:30,Xander,65.00,8.00
2024-10-04 08:00,Yara,200.00,30.00
2024-10-04 09:00,Zoe,110.00,14.00
2024-10-04 10:15,Alice,135.00,18.00
2024-10-04 11:30,Bob,70.50,9.00
2024-10-04 12:45,Charlie,50.00,5.00
2024-10-04 14:00,Diana,220.00,25.00
2024-10-04 15:30,Ethan,145.75,20.00
2024-10-05 08:15,Fiona,95.50,12.00
2024-10-05 09:00,George,115.00,15.00
2024-10-05 10:30,Hannah,68.00,8.00
2024-10-05 11:45,Ian,140.25,19.00
2024-10-05 13:00,Julia,100.00,13.00
2024-10-05 14:15,Kevin,50.25,7.00
2024-10-05 15:30,Liam,175.00,27.00
2024-10-06 08:00,Mia,85.00,11.00
2024-10-06 09:30,Noah,110.50,14.00
2024-10-06 10:15,Olivia,45.75,6.00
2024-10-06 11:00,Paul,165.00,23.00
2024-10-06 12:30,Quinn,118.00,16.00
2024-10-06 13:15,Rita,130.50,17.00
2024-10-06 14:00,Sam,72.00,9.00
2024-10-06 15:45,Tina,158.00,21.00
2024-10-07 08:30,Ursula,92.00,12.00
2024-10-07 09:15,Victor,84.50,10.00
2024-10-07 10:00,Wendy,127.00,15.50
2024-10-07 11:45,Xander,70.75,9.00
2024-10-07 12:30,Yara,195.00,28.00
2024-10-07 14:00,Zoe,112.50,14.50
2024-10-08 08:15,Alice,123.00,17.00
2024-10-08 09:00,Bob,77.25,9.50
2024-10-08 10:30,Charlie,64.00,7.00
2024-10-08 11:45,Diana,210.00,22.00
2024-10-08 12:15,Ethan,148.75,20.00
2024-10-08 13:30,Fiona,89.90,12.00
2024-10-08 15:00,George,113.25,14.00
2024-10-09 08:00,Hannah,80.50,10.00
2024-10-09 09:30,Ian,135.00,16.00
2024-10-09 10:15,Julia,92.75,11.50
2024-10-09 11:00,Kevin,48.50,6.00
2024-10-09 12:30,Liam,168.00,24.00
2024-10-09 14:00,Mia,82.00,10.00
2024-10-09 15:30,Noah,107.00,13.00
2024-10-09 16:45,Olivia,53.50,7.00
2024-10-10 08:15,Paul,175.50,26.00
2024-10-10 09:00,Quinn,125.00,15.00
2024-10-10 10:30,Rita,134.00,17.00
2024-10-10 11:45,Sam,79.00,10.50
2024-10-10 12:15,Tina,155.00,21.00
2024-10-10 14:00,Ursula,91.00,12.00
2024-10-10 15:30,Victor,88.00,11.00
2024-10-10 16:15,Wendy,130.50,17.50